K	plain	plain.gz	.unik	.unik.cpt	.unik.sort	.unik.ungz	.unik.cpt.ungz	plain.gz(%)	.unik(%)	.unik.cpt(%)	.unik.sort(%)	.unik.ungz(%)	.unik.cpt.ungz(%)
1	4	60	63	59	60	40	26	1500.0	1575.0	1475.0	1500.0	1000.0	650.0
3	128	119	119	89	73	280	56	93.0	93.0	69.5	57.0	218.8	43.8
5	3072	1089	1209	852	157	4120	1048	35.4	39.4	27.7	5.1	134.1	34.1
7	65536	20304	20806	15185	704	65560	16408	31.0	31.7	23.2	1.1	100.0	25.0
9	1298210	380832	398203	326723	9347	1038592	389487	29.3	30.7	25.2	0.7	80.0	30.0
11	17546028	4842844	5374018	4377849	470834	11697376	4386531	27.6	30.6	25.0	2.7	66.7	25.0
13	53938500	12342699	15754114	13645978	2978858	30822024	15411024	22.9	29.2	25.3	5.5	57.1	28.6
15	71395664	14937162	20808238	17815981	5818486	35697856	17848940	20.9	29.1	25.0	8.1	50.0	25.0
17	81542826	15335752	23122318	20639672	8522740	36241280	22650809	18.8	28.4	25.3	10.5	44.4	27.8
19	90800420	15579112	24517071	22666275	10909001	36320192	22700129	17.2	27.0	25.0	12.0	40.0	25.0
21	99965602	15865470	22068468	19650739	13566270	36351152	27263370	15.9	22.1	19.7	13.6	36.4	27.3
23	109119168	16262891	22599167	19635565	15902317	36373080	27279816	14.9	20.7	18.0	14.6	33.3	25.0
25	118271660	16014051	19775051	17756514	18519125	36391304	31842394	13.5	16.7	15.0	15.7	30.8	26.9
27	127424640	16071641	20927324	18397013	21296501	36407064	31856184	12.6	16.4	14.4	16.7	28.6	25.0
29	136579410	16148250	18173267	18173267	24134481	36421200	36421200	11.8	13.3	13.3	17.7	26.7	26.7
31	145736608	16737022	18933840	18933840	25885374	36434176	36434176	11.5	13.0	13.0	17.8	25.0	25.0
