K	plain	plain.gz	.unik	.unik.cpt	.unik.sort	.unik.ungz	.unik.cpt.ungz	plain.gz(%)	.unik(%)	.unik.cpt(%)	.unik.sort(%)	.unik.ungz(%)	.unik.cpt.ungz(%)
1	4	74	63	59	60	40	26	1850.0	1575.0	1475.0	1500.0	1000.0	650.0
3	128	134	118	89	73	280	56	104.7	92.2	69.5	57.0	218.8	43.8
5	3072	1110	1197	852	157	4120	1048	36.1	39.0	27.7	5.1	134.1	34.1
7	65536	20178	20740	15187	704	65560	16408	30.8	31.6	23.2	1.1	100.0	25.0
9	1267940	371853	388052	318402	14974	1014376	380406	29.3	30.6	25.1	1.2	80.0	30.0
11	12491208	3394523	3804633	3115530	441543	8327496	3122826	27.2	30.5	24.9	3.5	66.7	25.0
13	31801630	7234214	9212259	7981656	1958076	18172384	9086204	22.7	29.0	25.1	6.2	57.1	28.6
15	41407760	8633859	11954033	10328464	3604829	20703904	10351964	20.9	28.9	24.9	8.7	50.0	25.0
17	47244870	8875776	13268713	11842955	5105123	20997744	13123599	18.8	28.1	25.1	10.8	44.4	27.8
19	52583400	9035511	14160181	13120935	6552887	21033384	13145874	17.2	26.9	25.0	12.5	40.0	25.0
21	57865940	9186184	12678234	11375770	7995431	21042184	15781644	15.9	21.9	19.7	13.8	36.4	27.3
23	63141720	9402279	13072433	11464150	9533248	21047264	15785454	14.9	20.7	18.2	15.1	33.3	25.0
25	68417570	9280827	11379263	10194389	11065404	21051584	18420139	13.6	16.6	14.9	16.2	30.8	26.9
27	73693760	9289912	12102118	10632608	12562927	21055384	18423464	12.6	16.4	14.4	17.0	28.6	25.0
29	78970230	9338320	10434178	10434178	14060879	21058752	21058752	11.8	13.2	13.2	17.8	26.7	26.7
31	84247264	9673972	10930730	10930730	15211521	21061840	21061840	11.5	13.0	13.0	18.1	25.0	25.0
