k	num	group	value
11	1K k-mers	unik.compact.C	26.5
11	1K k-mers	gzip	25.0
11	1K k-mers	unik.default	31.7
11	1K k-mers	unik.compact	25.0
11	1K k-mers	unik.sorted	16.9
11	1K k-mers	unik.default.C	68.2
11	1K k-mers	unik.sorted.C	21.1
13	1K k-mers	unik.compact.C	29.9
13	1K k-mers	gzip	21.9
13	1K k-mers	unik.default	30.8
13	1K k-mers	unik.compact	25.8
13	1K k-mers	unik.sorted	18.7
13	1K k-mers	unik.default.C	58.5
13	1K k-mers	unik.sorted.C	20.7
15	1K k-mers	unik.compact.C	26.2
15	1K k-mers	gzip	20.6
15	1K k-mers	unik.default	29.6
15	1K k-mers	unik.compact	24.8
15	1K k-mers	unik.sorted	19.9
15	1K k-mers	unik.default.C	51.2
15	1K k-mers	unik.sorted.C	21.8
17	1K k-mers	unik.compact.C	28.8
17	1K k-mers	gzip	18.6
17	1K k-mers	unik.default	29.2
17	1K k-mers	unik.compact	25.6
17	1K k-mers	unik.sorted	20.2
17	1K k-mers	unik.default.C	45.5
17	1K k-mers	unik.sorted.C	21.4
19	1K k-mers	unik.compact.C	25.9
19	1K k-mers	gzip	17.1
19	1K k-mers	unik.default	26.4
19	1K k-mers	unik.compact	23.1
19	1K k-mers	unik.sorted	20.9
19	1K k-mers	unik.default.C	40.9
19	1K k-mers	unik.sorted.C	22.3
21	1K k-mers	unik.compact.C	28.1
21	1K k-mers	gzip	15.6
21	1K k-mers	unik.default	21.4
21	1K k-mers	unik.compact	17.9
21	1K k-mers	unik.sorted	21.1
21	1K k-mers	unik.default.C	37.2
21	1K k-mers	unik.sorted.C	21.9
23	1K k-mers	unik.compact.C	25.8
23	1K k-mers	gzip	14.7
23	1K k-mers	unik.default	20.5
23	1K k-mers	unik.compact	17.5
23	1K k-mers	unik.sorted	21.7
23	1K k-mers	unik.default.C	34.1
23	1K k-mers	unik.sorted.C	22.7
25	1K k-mers	unik.compact.C	27.6
25	1K k-mers	gzip	13.5
25	1K k-mers	unik.default	17.2
25	1K k-mers	unik.compact	15.6
25	1K k-mers	unik.sorted	21.7
25	1K k-mers	unik.default.C	31.5
25	1K k-mers	unik.sorted.C	22.3
27	1K k-mers	unik.compact.C	25.7
27	1K k-mers	gzip	12.6
27	1K k-mers	unik.default	16.8
27	1K k-mers	unik.compact	14.8
27	1K k-mers	unik.sorted	22.1
27	1K k-mers	unik.default.C	29.2
27	1K k-mers	unik.sorted.C	22.8
29	1K k-mers	unik.compact.C	27.3
29	1K k-mers	gzip	11.9
29	1K k-mers	unik.default	13.5
29	1K k-mers	unik.compact	13.5
29	1K k-mers	unik.sorted	18.1
29	1K k-mers	unik.default.C	27.3
29	1K k-mers	unik.sorted.C	27.3
31	1K k-mers	unik.compact.C	25.6
31	1K k-mers	gzip	11.6
31	1K k-mers	unik.default	13.2
31	1K k-mers	unik.compact	13.2
31	1K k-mers	unik.sorted	17.0
31	1K k-mers	unik.default.C	25.6
31	1K k-mers	unik.sorted.C	25.6
11	1M k-mers	unik.compact.C	25.0
11	1M k-mers	gzip	27.1
11	1M k-mers	unik.default	29.2
11	1M k-mers	unik.compact	24.9
11	1M k-mers	unik.sorted	3.5
11	1M k-mers	unik.default.C	66.7
11	1M k-mers	unik.sorted.C	12.5
13	1M k-mers	unik.compact.C	28.6
