k	num	plain	gzip	unik	cunik	sunik	unikC	cunikC	sunikC
11	1024	12288	3077	3900	3069	2080	8382	3262	2598
13	1024	14336	3135	4422	3704	2682	8382	4286	2963
15	1024	16384	3382	4857	4067	3255	8382	4286	3573
17	1024	18432	3435	5386	4717	3731	8382	5310	3951
19	1024	20480	3502	5406	4737	4289	8382	5310	4564
21	1024	22528	3507	4828	4040	4743	8382	6334	4935
23	1024	24576	3615	5045	4307	5342	8382	6334	5577
25	1024	26624	3584	4592	4160	5782	8382	7358	5937
27	1024	28672	3606	4806	4250	6337	8382	7358	6546
29	1024	30720	3668	4142	4142	5567	8382	8382	8382
31	1024	32768	3797	4333	4333	5559	8382	8382	8382
11	1048576	12582912	3414123	3672377	3136409	441296	8388798	3145918	1573189
13	1048576	14680064	3320328	4327606	4096265	1088525	8388798	4194494	1623343
15	1048576	16777216	3533925	4836582	4137032	1815869	8388798	4194494	2135307
17	1048576	18874368	3585299	5369828	4945325	2439873	8388798	5243070	2501711
19	1048576	20971520	3642072	5443092	5066433	2993592	8388798	5243070	3032727
21	1048576	23068672	3708425	4869793	4264776	3337881	8388798	6291646	3391598
23	1048576	25165824	3813168	5158982	4362556	3873405	8388798	6291646	3915873
25	1048576	27262976	3777114	4734488	4233320	4238685	8388798	7340222	4280001
27	1048576	29360128	3798006	4865313	4304500	4769856	8388798	7340222	4811044
29	1048576	31457280	3834330	4289094	4289094	6430306	8388798	8388798	8388798
31	1048576	33554432	3976820	4422125	4422125	6832496	8388798	8388798	8388798
13	10485760	146800640	35712068	44558054	41717156	5201535	83886270	41943230	15737323
15	10485760	167772160	35431898	49056094	41687939	11502695	83886270	41943230	16590995
17	10485760	188743680	35789341	54751656	49908466	20472452	83886270	52428990	22021192
19	10485760	209715200	36322792	55122524	50127934	25752905	83886270	52428990	26028533
21	10485760	230686720	36917922	49566337	44050614	31627381	83886270	62914750	31790222
23	10485760	251658240	37833440	52631796	44056880	35673113	83886270	62914750	35793477
25	10485760	272629760	37333471	47441854	42164619	41368127	83886270	73400510	41529416
27	10485760	293601280	37417453	48284307	42626363	45444110	83886270	73400510	45538283
29	10485760	314572800	37655604	42339840	42339840	64339646	83886270	83886270	83886270
31	10485760	335544320	38986891	43837012	43837012	73674493	83886270	83886270	83886270
17	104857600	1887436800	362918850	548770150	500098080	120165495	838860990	524288190	169686768
19	104857600	2097152000	366075766	549837859	497427028	207949672	838860990	524288190	223785432
21	104857600	2306867200	371682551	496537917	453442614	259993708	838860990	629145790	263181485
23	104857600	2516582400	380292305	526766618	441328577	317853909	838860990	629145790	319938662
25	104857600	2726297600	375222318	474501023	420554948	358540325	838860990	734003390	359808829
27	104857600	2936012800	375638499	479895188	423600585	414971863	838860990	734003390	416374771
29	104857600	3145728000	377847156	422397157	422397157	586731750	838860990	838860990	838860990
31	104857600	3355443200	390598499	436637297	436637297	641006606	838860990	838860990	838860990
